Year,ActionGeo_CountryCode,goldstein_score,tone
2023,MC,1.71,0.2
2023,SE,2.36,2.16
2023,NE,2.07,1.91
2023,KZ,2.25,0.02
2023,LH,1.75,-0.91
2023,TO,1.47,-0.75
2023,MJ,0.73,-2.66
2023,CV,1.61,0.63
2023,MH,1.43,0.21
2023,TV,2.56,0.85
2023,AJ,1.13,-0.74
2023,EK,0.91,-3.5
2023,SH,0.07,-0.18
2023,GI,0.62,-1.65
2023,LO,1.21,-1.12
2023,GJ,1.84,0.12
2023,JO,0.87,-1.86
2023,UZ,2.24,-0.27
2023,MK,1.34,-1.04
2023,AN,3.15,0.63
2023,CJ,1.3,-0.48
2023,AY,1.31,-0.42
2023,RQ,1.03,-1.19
2023,JN,2.35,2.83
2023,AU,1.42,-0.69
2023,SL,1.23,-0.85
2023,KR,1.49,-0.81
2023,SG,0.27,-3.08
2023,EZ,1.79,-0.07
2023,AM,1.07,-1.29
2023,NL,1.29,-1.03
2023,BK,-0.42,-3.5
2023,BP,2.56,0.61
2023,SN,1.72,-0.02
2023,SZ,1.51,-0.57
2023,SA,1.95,-0.35
2023,AR,1.44,-0.88
2023,TT,1.8,-0.12
2023,US,0.46,-2.08
2023,CM,-0.06,-3.06
2023,CO,1.06,-2.1
2023,IN,0.65,-1.54
2023,RN,2.1,0.58
2023,JE,0.51,-1.54
2023,MV,2.06,1.95
2023,TE,1.9,-4.67
2023,PA,1.02,-0.97
2023,TZ,1.54,-0.97
2023,ZA,1.59,-0.7
2023,SM,1.62,0.99
2023,GZ,-2.76,-5.52
2023,HR,1.39,-0.54
2023,UV,-1.59,-4.79
2023,FK,1.41,-1.35
2023,FJ,1.84,0.36
2023,BY,0.68,-2.38
2023,IS,-0.93,-3.78
2023,HU,1.54,-1.03
2023,VC,1.5,-0.93
2023,CG,0.37,-3.29
2023,GV,1.32,-1.16
2023,KE,0.7,-2.04
2023,KG,1.65,-0.57
2023,NI,0.44,-1.24
2023,KV,-0.65,-3.38
2023,HO,0.59,-1.96
2023,CT,0.56,-3.69
2023,BF,0.93,-1.56
2023,BT,2.01,-0.31
2023,RB,-0.84,-3.71
2023,SF,0.28,-2.62
2023,MI,1.23,-2.02
2023,RS,-0.25,-3.33
2022,GT,0.33,-2.97
2022,GG,1.01,-1.66
2022,FI,1.82,-1.18
2022,TS,0.64,-2.28
2022,LS,1.84,-0.89
2022,GB,2.33,0.63
2022,KQ,0.3,-1.24
2022,IP,7.2,0.63
2022,AM,1.17,-1.33
2022,LT,0.18,-2.17
2022,BH,1.25,-0.47
2022,PG,0.19,-2.37
2022,HR,1.33,-0.73
2022,KT,0.6,-2.86
2022,TH,1.1,-1.22
2022,UZ,2.24,-0.27
2022,GA,0.77,-1.56
2022,FP,1.5,-0.46
2022,TL,1.64,1.27
2022,SB,-0.56,-1.36
2022,KZ,1.3,-1.55
2022,ST,1.63,0.64
2022,SH,1.44,1.82
2022,PL,1.19,-2.34
2022,SC,1.85,1.79
2022,HK,0.85,-1.95
2022,KV,-0.12,-2.89
2022,PO,1.08,-0.75
2022,MI,0.9,-1.84
2022,WQ,-1.5,-2.69
2022,VI,0.73,-2.19
2022,CD,-0.14,-3.43
2022,BY,0.9,-2.43
2022,OC,1.71,-0.31
2022,JE,0.84,-1.31
2022,DJ,1.48,-0.91
2022,CS,1.33,-0.77
2022,UG,0.67,-2.28
2022,BX,1.35,-0.11
2022,LY,0.57,-3.31
2022,BN,0.5,-1.32
2022,MG,2.17,0.86
2022,AC,1.79,-0.48
2022,ES,-0.33,-3.34
2022,TX,2.78,1.56
2022,NT,2.65,-0.11
2022,ID,1.59,-0.64
2022,DO,1.87,0.65
2022,CW,2.34,-0.33
2022,UY,2.01,-0.09
2022,KN,-0.62,-2.82
2022,PU,0.91,-1.78
2022,LU,1.95,-0.11
2022,NG,0.08,-2.69
2022,SF,0.05,-2.89
2022,MD,1.37,-2.03
2022,CH,1.02,-1.46
2022,BG,0.98,-1.43
2022,ZA,1.02,-1.22
2022,BQ,2.35,-3.65
2022,BP,2.52,-0.43
2022,CJ,1.8,0
2022,PC,1.49,-0.95
2022,BS,7,0.62
2022,ET,0.49,-2.8
2022,GK,2.23,0.03
2022,GQ,1.08,-1.41
2022,FR,1.03,-1.5
2022,CG,-0.04,-3.48
2022,MH,2.09,1.29
2022,ML,-0.21,-4.21
2022,FQ,1.6,2.01
2022,CO,0.76,-2.11
2022,CT,0.24,-3.77
2022,IC,1.51,-0.16
2022,SO,-0.3,-4
2022,BK,-0.4,-3.46
2022,GJ,1.17,-0.66
2022,YI,-1.09,-4.02
2022,HU,1.34,-1.59
2022,EK,1.09,-1.77
2022,VM,1.88,0.65
2022,AG,1.37,-1.53
2022,CU,1.04,-1.93
2022,TD,0.66,-1.25
2022,BO,0.81,-2.55
2022,BR,0.96,-1.6
2022,AF,0.29,-3.11
2022,VC,1.29,-0.81
2022,TP,1.47,-0.16
2022,SU,-0.13,-3.92
2022,GZ,-1.98,-4.72
2022,NF,0.79,-0.23
2022,JQ,1.93,-2.04
2022,CA,0.98,-1.41
2022,MX,0.27,-2.43
2022,TN,1.85,-1.57
2022,SY,-0.66,-4.17
2022,SV,1.15,-0.89
2022,MC,1.66,-0.41
2022,FO,1.25,-0.59
2022,LQ,2.49,-0.3
2022,JO,1.03,-1.38
2022,NO,1.47,-1.15
2022,IR,-0.32,-4.09
2022,GV,0.38,-2.72
2022,NH,2.37,0.21
2022,NE,3.06,1.58
2022,NC,1.58,-0.56
2022,PP,1.63,-0.24
2022,MO,1.56,-0.88
2022,NP,1.51,-0.49
2022,NS,2.03,-0.41
2022,SI,1.74,-0.27
2022,HO,0.24,-3.23
2022,FK,-0.9,-2.21
2022,NU,-0.25,-3.74
2022,RQ,1.29,-1.7
2022,TK,0.99,-0.26
2022,WA,1.25,-1.42
2022,BF,0.91,-1.89
2022,AR,1.12,-1.35
2022,KE,0.96,-1.25
2022,PE,0.43,-2.79
2022,LG,1.31,-1.4
2022,RM,1.55,-0.66
2022,FM,2.39,-0.08
2022,UV,-0.82,-4.76
2022,PA,0.53,-1.79
2022,LI,1.13,-1.09
2022,RO,1.78,-0.88
2022,DQ,2.7,-1.65
2022,BE,1.44,-1.65
2022,GL,1.38,-0.8
2022,EC,0.52,-2.87
2022,LH,0.98,-2
2022,UP,0.31,-3.13
2022,TT,1.98,0.45
2022,UK,0.92,-1.25
2022,CN,1.9,-0.49
2022,GY,1.18,-0.88
2022,TU,0.98,-2.24
2022,RE,1.77,0.73
2022,BL,0.56,-2.45
2022,PF,-1.84,-2.22
2022,GH,1.25,-0.53
2022,KG,1.2,-1.39
2022,AO,1.56,-1.25
2022,CI,1.09,-1.3
2022,AE,1.82,0.71
2022,VT,1.52,-0.82
2022,TI,0.94,-2.33
2022,PK,0.04,-2.79
2022,AU,1.4,-1.36
2022,AN,2.23,1
2022,IV,1.51,-1.64
2022,RI,0.85,-1.93
2022,EN,1.46,-1.27
2022,EZ,1.61,-0.91
2022,AQ,1.39,-0.99
2022,RN,1.24,0.5
2022,AA,1.71,0.42
2022,KS,1.16,-1.1
2022,MA,1.43,-1.25
2022,MU,2.58,1.33
2022,IZ,-0.67,-3.47
2022,SZ,1.23,-1.16
2022,KU,1.45,-0.17
2022,YM,-0.34,-3.76
2022,DR,1.02,-1.43
2022,BC,1.48,-0.68
2022,CM,0.53,-3.36
2022,JA,1.25,-0.88
2022,SN,1.73,-0.38
2022,SP,1.12,-0.98
2022,MN,1.34,0.6
2022,CB,1.76,-0.44
2022,PM,1.05,-1.52
2022,RW,0.89,-2.87
2022,EG,1.33,-1.21
2022,GR,0.91,-1.21
